103,2016,174,1500,7.17,1408,11.95,1200,44.9,53.51,61.23,34.5,1211,15.42,11.47,4.569,133,62.84,5.129,2.042,133,62.84,13.25
101,2016,174,1600,7.34,1539,9.45,1530,45.21,49.01,68.6,22.01,1549,9.84,8.95,5.589,289.2,49.63,4,2.498,289.2,49.63,13.29
101,2016,174,1700,7.67,1616,11.48,1659,45.81,52.67,61.33,17.84,1646,7.98,9.51,7.77,122.2,34.68,4.252,3.473,122.2,34.68,13.49
101,2016,174,1800,11.48,1700,13.92,1743,52.67,57.05,52.71,6.532,1716,2.92,3.667,3.329,194.4,24.59,1.639,1.488,194.4,24.59,13.45
103,2016,174,1800,7.34,1539,13.92,1743,45.21,57.05,52.71,22.01,1549,9.84,7.38,1.847,175.1,70.1,3.297,.826,175.1,70.1,13.45
101,2016,174,1900,10.42,1835,12.44,1800,50.76,54.39,53.54,6.971,1841,3.116,3.781,3.709,108.6,11.14,1.69,1.658,108.6,11.14,13.35
101,2016,174,2000,9.59,1904,11.33,1923,49.26,52.4,44.28,19.25,1914,8.6,8.71,7.44,320.8,30.92,3.894,3.327,320.8,30.92,13.23
101,2016,174,2100,9.07,2058,11.27,2000,48.33,52.29,61.32,24.99,2047,11.17,8.28,6.604,148.4,36.47,3.703,2.952,148.4,36.47,13.13
103,2016,174,2100,9.07,2058,12.44,1800,48.33,54.39,61.32,24.99,2047,11.17,6.925,.835,114.4,76,3.096,.373,114.4,76,13.13
101,2016,174,2200,8.8,2138,9.51,2104,47.85,49.11,66.14,25.51,2138,11.41,16.36,15.81,171.8,14.93,7.31,7.07,171.8,14.93,13.03
101,2016,174,2300,8.77,2259,9.71,2229,47.79,49.47,67.01,18.98,2218,8.49,14.26,13.73,180.3,15.63,6.374,6.137,180.3,15.63,12.97
101,2016,174,2400,8.44,2303,9.67,2349,47.18,49.41,58.51,21.13,2304,9.45,13.27,12.77,214.2,15.79,5.933,5.708,214.2,15.79,12.91
103,2016,174,2400,8.44,2303,9.71,2229,47.18,49.47,58.51,25.51,2138,11.41,14.63,13.42,187.1,23.35,6.54,5.997,187.1,23.35,12.91
124,2016,174,2400,7.17,1408,18.43,910,44.9,65.18,58.51,34.5,1211,15.42,7.44,3.3,185.4,60.42,3.325,1.475,185.4,60.42,12.91,11.31,52.36
101,2016,175,100,8.84,33,9.41,6,47.91,48.93,60.62,18.9,2,8.45,15.73,15.47,192.9,10.33,7.03,6.915,192.9,10.33,12.88
101,2016,175,200,8.4,112,9.27,139,47.12,48.69,60.22,20.03,117,8.96,13.23,13.06,180.8,9.29,5.915,5.837,180.8,9.29,12.84
101,2016,175,300,8.6,259,9.17,246,47.48,48.51,61.36,18.06,243,8.07,13.97,13.23,185.8,18.75,6.247,5.912,185.8,18.75,12.81
103,2016,175,300,8.4,112,9.41,6,47.12,48.93,61.36,20.03,117,8.96,14.31,13.86,186.9,14.31,6.397,6.197,186.9,14.31,12.81
101,2016,175,400,8.5,303,9.57,319,47.3,49.23,61.26,19.33,346,8.64,12.71,12.33,196.2,13.97,5.683,5.514,196.2,13.97,12.81
101,2016,175,500,8.27,416,8.98,457,46.88,48.16,60.39,17.45,412,7.8,13.58,13.29,190.9,11.79,6.07,5.941,190.9,11.79,12.77
101,2016,175,600,8.77,501,9.38,523,47.79,48.88,58.48,17.4,548,7.78,13.01,12.81,190.7,10.13,5.817,5.726,190.7,10.13,12.8
103,2016,175,600,8.27,416,9.57,319,46.88,49.23,58.48,19.33,346,8.64,13.1,12.8,192.5,12.3,5.856,5.721,192.5,12.3,12.8
101,2016,175,700,8.91,601,10.38,654,48.03,50.68,54.43,18.63,636,8.33,14.55,14.29,190.5,10.89,6.505,6.387,190.5,10.89,12.88
101,2016,175,800,10.31,700,12.34,759,50.56,54.22,53.68,16.26,704,7.27,10.68,10.48,191.2,11.09,4.772,4.683,191.2,11.09,13.01
101,2016,175,900,11.23,859,12.6,836,52.21,54.69,54.68,19.6,842,8.76,12.95,12.62,193.2,12.92,5.788,5.641,193.2,12.92,13.34
103,2016,175,900,8.91,601,12.6,836,48.03,54.69,54.68,19.6,842,8.76,12.73,12.46,191.6,11.73,5.688,5.569,191.6,11.73,13.34
101,2016,175,1000,11.03,902,13.97,940,51.85,57.15,46.11,21.74,928,9.72,13.85,13.34,198.7,15.65,6.192,5.961,198.7,15.65,14.26
101,2016,175,1100,12.66,1020,14.73,1050,54.79,58.52,40.18,29.99,1059,13.4,13.06,12.36,210.7,18.65,5.837,5.527,210.7,18.65,13.8
101,2016,175,1200,10.22,1109,15.47,1148,50.39,59.85,34.83,43.45,1106,19.42,13.51,12.66,227.1,20.25,6.038,5.661,227.1,20.25,14.26
103,2016,175,1200,10.22,1109,15.47,1148,50.39,59.85,34.83,43.45,1106,19.42,13.47,12.52,211.9,21.5,6.022,5.598,211.9,21.5,14.26
101,2016,175,1300,9.98,1245,15.3,1201,49.97,59.55,45.27,32.05,1205,14.33,10.7,7.95,.222,41.06,4.781,3.553,.222,41.06,14.27
101,2016,175,1400,11.82,1359,14.57,1300,53.28,58.22,45.8,30.21,1400,13.5,12.07,7.53,199.4,49.66,5.394,3.367,199.4,49.66,13.72
